,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,padang,100,ID,1603497416,74,-0.95,100.35,79.79,3.67
389,christchurch,0,NZ,1603497289,35,-43.53,172.63,71.6,4.7
390,sinegorye,98,RU,1603497417,89,62.08,150.48,33.31,4.81
391,manhush,80,UA,1603497417,95,47.06,37.31,57.09,8.55
392,hurghada,0,EG,1603497417,27,27.26,33.81,77.0,9.17
393,katsuura,40,JP,1603497182,52,35.13,140.3,68.0,17.22
394,adrar,62,MR,1603497417,14,20.5,-10.07,87.03,6.53
395,meadow lake,57,US,1603497417,79,45.53,-102.22,18.0,4.21
396,boca do acre,100,IT,1603497417,98,45.68,8.41,55.0,2.53
397,zaysan,100,KZ,1603497418,84,47.47,84.87,37.44,1.25
398,bacolod,100,PH,1603497418,87,10.67,122.95,77.76,13.47
399,miyako,9,JP,1603497418,56,39.64,141.95,55.02,9.84
400,margate,50,GB,1603497418,92,51.38,1.39,51.01,1.01
401,orangeburg,1,US,1603497418,64,33.49,-80.86,75.2,3.36
402,manavalakurichi,20,IN,1603497418,78,8.13,77.3,78.8,2.24
403,chai badan,67,CD,1603497419,92,1.5,30.16,63.03,1.66
404,russell,20,US,1603497419,94,32.35,-85.2,80.6,3.13
405,yenagoa,100,NG,1603497419,94,4.92,6.26,75.29,3.38
406,kutahya,0,TR,1603497419,93,39.42,29.98,46.4,2.24
407,sanmenxia,76,CN,1603497419,46,34.77,111.18,51.21,10.0
408,fort nelson,47,NL,1603497419,93,52.65,6.39,55.0,7.0
409,yoro,100,HN,1603497419,87,15.13,-87.13,72.57,3.06
410,curup,100,ID,1603497420,91,-3.47,102.53,69.71,0.85
411,taltal,18,CL,1603497420,74,-25.4,-70.48,58.08,6.15
412,voh,0,NC,1603497420,54,-20.97,164.7,85.42,4.56
413,keuruu,20,FI,1603497420,92,62.27,24.7,33.01,9.17
414,esperance,90,AU,1603497420,93,-33.87,121.9,55.4,6.93
415,vao,2,NC,1603497421,85,-22.67,167.48,73.89,15.14
416,comodoro rivadavia,99,BR,1603497421,64,-13.66,-59.79,78.89,2.53
417,port hedland,62,CD,1603497364,61,-7.03,29.76,76.98,4.29
418,teya,90,RU,1603497421,96,60.38,92.63,24.35,3.67
419,sorland,62,NO,1603497421,71,67.67,12.69,43.65,16.51
420,vila,49,PT,1603497390,90,42.03,-8.16,51.01,4.0
421,narsaq,97,GL,1603497422,73,60.92,-46.05,26.6,3.36
422,mogadishu,92,SO,1603497422,84,2.04,45.34,80.01,16.46
423,halifax,24,CA,1603497356,87,44.65,-63.57,51.01,3.0
424,sargatskoye,98,RU,1603497422,92,55.61,73.5,24.08,10.87
425,beloha,97,MG,1603497422,79,-25.17,45.05,69.91,8.68
426,santiago del estero,0,CL,1603497160,52,-33.46,-70.65,70.0,16.11
427,lyubinskiy,75,RU,1603497423,73,55.15,72.69,23.0,11.18
428,mezen,99,RU,1603497423,98,65.85,44.24,27.14,8.55
429,svetlogorsk,96,BY,1603497423,95,52.63,29.73,49.69,5.26
430,alausi,90,EC,1603497423,92,-2.2,-78.83,48.94,1.21
431,dombarovskiy,100,RU,1603497423,98,50.76,59.54,31.84,18.63
432,marrakesh,40,MA,1603497133,67,31.63,-8.01,62.6,5.82
433,mayumba,100,GA,1603497424,86,-3.43,10.66,76.8,7.38
434,roma,1,US,1603497377,60,43.21,-75.46,71.6,6.93
435,bennington,1,US,1603497424,68,42.88,-73.2,66.2,13.87
436,praia,40,CV,1603497424,78,14.92,-23.51,78.8,17.22
437,villa carlos paz,100,IT,1603497424,96,46.2,10.13,55.99,1.99
438,sur,0,OM,1603497424,61,22.57,59.53,78.04,14.63
439,ziway,22,ET,1603497424,46,7.93,38.72,61.92,1.52
440,corner brook,35,US,1603497425,80,33.8,-86.94,73.99,2.66
441,dongsheng,1,CN,1603497425,58,39.82,109.98,39.76,8.46
442,mujiayingzi,0,CN,1603497425,62,42.12,118.78,39.81,6.17
443,sept-iles,90,CA,1603497425,100,50.2,-66.38,35.01,14.99
444,kizilskoye,100,RU,1603497425,97,52.73,58.89,31.17,14.83
445,kalmunai,38,LK,1603497425,81,7.42,81.82,77.43,5.53
446,mirnyy,0,RU,1603497426,67,62.54,113.96,23.0,13.42
447,kontagora,98,NG,1603497426,49,10.4,5.47,73.2,1.59
448,kirakira,31,SB,1603497426,66,-10.45,161.92,86.43,7.76
449,port macquarie,62,CD,1603497426,61,-7.03,29.76,76.98,4.29
450,zaraza,32,VE,1603497371,94,9.35,-65.32,75.78,5.23
451,utrecht,52,NL,1603497397,91,52.0,5.25,54.0,3.0
452,taoudenni,16,ML,1603497426,13,22.68,-3.98,85.66,8.86
453,biu,85,NG,1603497426,26,10.61,12.19,74.07,3.29
454,austin,90,US,1603496782,54,30.27,-97.74,59.0,8.05
455,dali,100,CN,1603497427,88,25.7,100.18,49.86,2.19
456,college,75,US,1603497427,78,64.86,-147.8,27.0,3.62
457,okha,100,RU,1603497427,89,53.57,142.95,45.43,38.39
458,chapais,90,CA,1603497427,100,49.78,-74.85,33.8,11.41
459,luena,12,AO,1603497427,74,-11.78,19.92,63.81,0.87
460,oktyabrskoye,0,RU,1603497428,39,43.06,44.74,37.4,4.47
461,missoula,90,US,1603497428,100,47.02,-113.8,27.0,5.82
462,abu dhabi,0,IN,1603497428,44,24.6,72.7,60.76,0.6
463,camocim,69,BR,1603497428,80,-2.9,-40.84,79.12,13.91
464,palembang,40,ID,1603497428,100,-2.92,104.75,73.4,2.28
465,ilulissat,78,GL,1603497274,62,69.22,-51.1,21.2,4.7
466,sile,90,TR,1603497428,100,41.18,29.61,60.8,3.4
467,kampot,40,KH,1603497428,94,10.62,104.18,77.0,3.74
468,novyy urengoy,0,RU,1603497429,93,45.01,38.98,46.4,2.24
469,taonan,0,CN,1603497429,65,45.33,122.78,37.94,7.27
470,amapa,48,BR,1603497416,55,1.0,-52.0,81.61,6.35
471,san jeronimo,15,ML,1603497384,24,13.3,-4.9,83.07,6.76
472,alanya,0,TR,1603497368,82,36.54,32.0,60.8,5.82
473,tuscaloosa,1,US,1603497429,58,33.21,-87.57,82.4,4.7
474,hegang,78,CN,1603497429,73,47.4,130.37,35.19,21.72
475,oda,20,JP,1603497430,67,35.18,132.5,57.2,11.41
476,uyuni,0,BO,1603497430,32,-20.46,-66.83,57.58,16.28
477,abu kamal,0,IN,1603497430,44,24.6,72.7,60.76,0.6
478,weston,20,US,1603497381,78,26.1,-80.4,81.0,11.41
479,yeppoon,40,AU,1603497430,65,-23.13,150.73,80.6,10.29
480,komsomolskiy,93,UZ,1603497430,70,40.43,71.72,44.6,6.93
481,tautira,75,PF,1603497431,66,-17.73,-149.15,84.2,12.75
482,egvekinot,5,RU,1603497431,94,66.32,-179.17,24.42,8.14
483,sitka,75,US,1603497431,28,57.05,-135.33,42.8,11.41
484,dunda,71,TZ,1603497431,57,-8.12,34.25,67.41,1.19
485,nuuk,69,GL,1603497431,74,64.18,-51.72,28.4,2.24
486,vilhena,100,BR,1603497359,67,-12.74,-60.15,77.25,0.63
487,port said,62,CD,1603497431,61,-7.03,29.76,76.98,4.29
488,zheleznodorozhnyy,0,RU,1603497432,81,55.75,38.0,51.8,8.95
489,cobija,20,BO,1603497432,49,-11.03,-68.77,93.2,3.36
490,yerbogachen,79,RU,1603497432,98,61.28,108.01,25.38,5.5
491,dire,24,ML,1603497432,61,12.28,-10.97,77.14,2.59
492,yuancheng,90,CN,1603497432,61,36.65,107.79,45.27,7.92
493,peterhead,33,GB,1603497432,93,57.51,-1.8,39.99,4.7
494,puro,95,PH,1603497433,82,12.48,123.38,81.54,9.95
495,buraydah,0,SA,1603497433,31,26.33,43.98,64.4,50.55
496,hobyo,100,SO,1603497352,75,5.35,48.53,81.52,15.3
497,pyapon,100,MM,1603497433,89,16.28,95.68,77.58,4.76
498,kapit,100,MY,1603497433,93,2.02,112.93,74.12,1.66
499,jieshi,100,CN,1603497433,54,22.81,115.83,70.0,3.0
500,ketchikan,1,US,1603497298,28,55.34,-131.65,46.4,3.36
501,saint-augustin,34,CA,1603497434,85,51.23,-58.65,33.64,1.1
502,jonkoping,86,SE,1603497434,93,57.78,14.16,44.6,5.82
503,farah,0,AF,1603497434,65,32.5,62.5,40.46,4.21
504,davila,75,PH,1603497434,94,18.47,120.58,78.8,3.36
505,oriximina,37,BR,1603497434,52,-1.77,-55.87,86.29,4.56
506,inhambane,6,MZ,1603497434,85,-23.86,35.38,70.12,5.82
507,sergeyevka,0,KZ,1603497434,90,53.88,67.42,22.73,6.08
508,boden,0,SE,1603497435,92,65.83,21.69,26.6,10.29
509,half moon bay,89,LR,1603497435,90,6.38,-10.7,77.05,4.45
510,french harbor,1,US,1603497435,78,46.29,-96.2,17.6,8.05
511,ixtapa,20,MX,1603497435,74,20.7,-105.2,87.8,13.87
512,poyarkovo,0,RU,1603497435,84,49.6,128.68,31.12,20.29
513,luanda,75,AO,1603497435,78,-8.84,13.23,77.0,9.17
514,hwange,0,ZW,1603497435,32,-18.37,26.5,72.72,3.96
515,ternate,82,ID,1603497435,78,0.8,127.4,82.65,2.68
516,meulaboh,72,ID,1603497412,84,4.14,96.13,77.83,3.53
517,ostrovnoy,100,RU,1603497366,97,68.05,39.51,29.28,7.58
518,mitsamiouli,7,KM,1603497436,76,-11.38,43.28,78.69,7.11
519,jagatsinghapur,40,IN,1603497436,100,20.27,86.17,78.8,3.36
520,podosinovets,100,RU,1603497436,97,60.28,47.07,37.65,7.25
521,yar-sale,90,RU,1603497436,95,66.83,70.83,20.97,8.72
522,shubarkuduk,100,KZ,1603497437,76,49.14,56.49,38.37,18.14
523,sandpoint,90,US,1603497437,92,48.28,-116.55,33.01,5.82
524,qaqortoq,98,GL,1603497437,73,60.72,-46.03,26.6,3.36
